SVN,Frame,Memory,Memory (Managed),Gen 0 GC,Gen 1 GC,Gen 2 GC,Processors,Frame Rate,Frame Time,Shadow Primitives,Render Primitives,Render Process,Updater Process,Loader Process,Sound Process
1.6,520,0,166273712,750,95,37,4,22,0.045774,2812,3643,98,20,0,2
1.6,521,0,166330976,750,95,37,4,22,0.046307,2812,3643,98,20,0,2
1.6,522,0,166371712,750,95,37,4,21,0.046858,2812,3643,98,20,0,2
1.6,523,0,166437024,750,95,37,4,21,0.046687,2812,3643,97,19,0,1
1.6,524,0,166469656,750,95,37,4,21,0.046971,2812,3643,97,19,0,1
1.6,525,0,166510456,750,95,37,4,21,0.047425,2812,3643,97,19,0,1
1.6,526,0,166559384,750,95,37,4,21,0.047368,2812,3643,97,19,0,1
1.6,527,0,166583864,750,95,37,4,21,0.047382,2812,3643,97,19,0,1
1.6,528,0,166641024,750,95,37,4,21,0.047513,2812,3643,97,19,0,1
1.6,529,0,166689360,750,95,37,4,22,0.046184,2812,3643,97,19,0,2
1.6,530,0,166730128,750,95,37,4,22,0.044526,2812,3643,97,19,0,2
1.6,531,0,166762688,750,95,37,4,23,0.044014,2812,3643,97,19,0,2
1.6,532,0,166819904,750,95,37,4,23,0.043509,2812,3643,97,19,0,2
1.6,533,0,166868944,750,95,37,4,23,0.043715,2812,3643,97,19,0,2
1.6,534,0,166901480,750,95,37,4,23,0.043390,2812,3643,97,19,0,2
1.6,535,0,166966192,750,95,37,4,23,0.044401,2812,3643,98,23,0,2
1.6,536,0,166998856,750,95,37,4,21,0.046573,2812,3643,98,23,0,2
1.6,537,0,167056040,750,95,37,4,21,0.047101,2812,3643,98,23,0,2
1.6,538,0,167096856,750,95,37,4,21,0.048311,2812,3643,98,23,0,2
1.6,539,0,167162280,750,95,37,4,18,0.056313,2812,3643,98,23,0,2
1.6,540,0,167219504,750,95,37,4,17,0.058288,2812,3643,97,13,0,3
1.6,541,0,167268504,750,95,37,4,17,0.059403,2812,3643,97,13,0,3
1.6,542,0,167309384,750,95,37,4,16,0.060624,2812,3643,97,13,0,3
1.6,543,0,167349952,750,95,37,4,16,0.061915,2812,3643,97,13,0,3
1.6,544,0,166005544,751,95,37,4,16,0.064029,2812,3643,97,13,0,3
1.6,545,0,166062760,751,95,37,4,15,0.065020,2812,3643,94,15,0,6
1.6,546,0,166119936,751,95,37,4,15,0.064846,2812,3643,94,15,0,6
1.6,547,0,166169008,751,95,37,4,15,0.064988,2812,3643,94,15,0,6
1.6,548,0,166218032,751,95,37,4,15,0.064920,2812,3643,94,15,0,6
1.6,549,0,166283208,751,95,37,4,17,0.058369,2812,3643,99,19,0,2
1.6,550,0,166348592,751,95,37,4,17,0.057357,2812,3643,99,19,0,2
1.6,551,0,166389400,751,95,37,4,17,0.057799,2812,3643,99,19,0,2
1.6,552,0,166421952,751,95,37,4,17,0.057922,2812,3643,99,19,0,2
1.6,553,0,166478960,751,95,37,4,18,0.056829,2812,3643,99,19,0,2
1.6,554,0,166552040,751,95,37,4,18,0.055710,2812,3643,96,18,0,3
1.6,555,0,166584808,751,95,37,4,18,0.054190,2812,3643,96,18,0,3
1.6,556,0,166642016,751,95,37,4,19,0.053181,2813,3644,96,18,0,3
1.6,557,0,166690992,751,95,37,4,19,0.053625,2813,3644,96,18,0,3
1.6,558,0,166740032,751,95,37,4,19,0.054026,2813,3644,96,18,0,3
1.6,559,0,166779672,751,95,37,4,18,0.054264,2813,3644,99,20,0,2
1.6,560,0,166820424,751,95,37,4,18,0.054146,2813,3644,99,20,0,2
1.6,561,0,167129560,751,95,37,4,18,0.056274,2813,3644,99,20,0,2
1.6,562,0,167154136,751,95,37,4,17,0.057162,2813,3644,99,20,0,2
1.6,563,0,171407640,751,95,37,4,15,0.066569,2814,3644,99,20,0,2
1.6,564,0,175677352,751,95,37,4,15,0.068538,2816,3646,85,38,0,1
1.6,565,0,175718128,751,95,37,4,14,0.069233,2816,3646,85,38,0,1
1.6,566,0,175758976,751,95,37,4,14,0.070387,2816,3646,85,38,0,1
1.6,567,0,175848672,751,95,37,4,14,0.071635,2816,3646,85,38,0,1
1.6,568,0,175897496,751,95,37,4,14,0.071117,2816,3646,97,18,0,2
1.6,569,0,174456640,752,95,37,4,14,0.071410,2816,3646,97,18,0,2
1.6,570,0,174505744,752,95,37,4,14,0.072840,2816,3646,97,18,0,2
1.6,571,0,174554792,752,95,37,4,14,0.071676,2821,3646,97,18,0,2
1.6,572,0,174603768,752,95,37,4,14,0.071626,2821,3646,94,16,0,3
1.6,573,0,174685520,752,95,37,4,16,0.063447,2821,3646,94,16,0,3
1.6,574,0,174709984,752,95,37,4,16,0.062390,2823,3648,94,16,0,3
1.6,575,0,174759016,752,95,37,4,16,0.061792,2823,3648,94,16,0,3
1.6,576,0,174799840,752,95,37,4,17,0.060091,2823,3648,94,16,0,3
1.6,577,0,174880960,752,95,37,4,17,0.058670,2823,3648,95,16,0,1
1.6,578,0,174921824,752,95,37,4,17,0.057672,2823,3648,95,16,0,1
1.6,579,0,174979032,752,95,37,4,17,0.057237,2823,3648,95,16,0,1
1.6,580,0,175019792,752,95,37,4,18,0.055260,2823,3648,95,16,0,1
1.6,581,0,175060656,752,95,37,4,19,0.053145,2823,3648,95,16,0,1
1.6,582,0,175126800,752,95,37,4,19,0.051408,2823,3648,99,20,0,3
1.6,583,0,175208384,752,95,37,4,20,0.050273,2823,3648,99,20,0,3
1.6,584,0,175257224,752,95,37,4,21,0.048729,2823,3648,99,20,0,3
1.6,585,0,179016824,752,95,37,4,20,0.049294,2820,3648,99,20,0,3
1.6,586,0,179065792,752,95,37,4,21,0.048613,2820,3648,99,20,0,3
1.6,587,0,179106648,752,95,37,4,21,0.047396,2820,3648,99,20,0,3
1.6,588,0,179162336,752,95,37,4,21,0.047469,2820,3648,99,22,0,1
1.6,589,0,179209992,752,95,37,4,21,0.046764,2820,3648,99,22,0,1
1.6,590,0,179258968,752,95,37,4,22,0.046350,2820,3648,99,22,0,1
1.6,591,0,179316040,752,95,37,4,22,0.046242,2838,3655,99,22,0,1
1.6,592,0,179348632,752,95,37,4,22,0.046258,2838,3655,99,22,0,1
1.6,593,0,179397656,752,95,37,4,22,0.045331,2838,3655,99,22,0,1
